problem;instance_file_id;instance_file;no_instances;max_score;opt_no_routes;no_routes;ns;ns_size;ns_insert_size;ns_select_criteria;init_mode;init_select_mode;ls;ls_size;ls_improve_criteria;ls_select_criteria;init_max_iterations;shake_max_iterations;ls_max_iterations;vns_max_iterations;no_visited_pois;score;travel_time;wait_time;loading_time;run_time;info
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;3;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;408.0;105076781.0;0.0;0.002711057662963867;0.3829810619354248;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;3;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;494.0;109133353.0;0.0;0.0026540756225585938;0.9898209571838379;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;1;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;10;227.0;103557133.0;0.0;0.002651214599609375;0.2551891803741455;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;1;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;430.0;102340247.0;0.0;0.002641916275024414;0.3602712154388428;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;1;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;17;514.0;107603069.0;0.0;0.002638101577758789;0.9879052639007568;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;1;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;297.0;101884709.0;0.0;0.002674102783203125;0.2611100673675537;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;1;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;477.0;112446394.0;0.0;0.002650022506713867;0.35383009910583496;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;1;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;15;465.0;108290771.0;0.0;0.0026268959045410156;0.9439136981964111;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;2;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;355.0;108204177.0;0.0;0.002649068832397461;0.3092360496520996;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;2;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;463.0;103326614.0;0.0;0.002652883529663086;0.35487890243530273;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;2;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;482.0;108483411.0;0.0;0.002634286880493164;0.9980652332305908;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;2;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;348.0;105817145.0;0.0;0.002644062042236328;0.31027936935424805;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;2;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;505.0;110978997.0;0.0;0.0026628971099853516;0.48183178901672363;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;2;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;17;545.0;106158953.0;0.0;0.002635955810546875;1.0612609386444092;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;3;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;9;269.0;108931402.0;0.0;0.0028319358825683594;0.2503547668457031;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;3;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;429.0;104572264.0;0.0;0.0026388168334960938;0.3708789348602295;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;3;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;488.0;109838278.0;0.0;0.002638101577758789;0.9165782928466797;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;3;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;316.0;104372350.0;0.0;0.0027136802673339844;0.25774478912353516;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;3;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;414.0;104378507.0;0.0;0.002627134323120117;0.36533617973327637;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;3;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;434.0;111441564.0;0.0;0.002637147903442383;0.9104082584381104;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;1;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;343.0;103328500.0;0.0;0.0027070045471191406;0.2664308547973633;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;1;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;436.0;104816959.0;0.0;0.0026290416717529297;0.30542683601379395;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;1;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;385.0;111108918.0;0.0;0.0026159286499023438;0.9344046115875244;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;1;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;292.0;91467750.0;0.0;0.0026521682739257812;0.27132415771484375;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;1;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;413.0;98930931.0;0.0;0.0026237964630126953;0.3962726593017578;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;1;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;16;536.0;107346513.0;0.0;0.002647876739501953;1.0072896480560303;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;2;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;323.0;106758439.0;0.0;0.0026459693908691406;0.3222007751464844;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;2;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;396.0;103884819.0;0.0;0.002647876739501953;0.38663172721862793;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;2;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;468.0;111285945.0;0.0;0.0026509761810302734;1.0119140148162842;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;2;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;240.0;104659027.0;0.0;0.002664804458618164;0.3240540027618408;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;2;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;400.0;93916172.0;0.0;0.0026400089263916016;0.3846120834350586;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;RelocateInsert;2;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;491.0;110597153.0;0.0;0.0026497840881347656;1.004723072052002;
